 ,Area,Mean,Min,Max,X,Y
1,0.000,8,8,8,1.668,46.931
2,0.000,12,12,12,1.960,42.787
3,0.000,12,12,12,2.260,38.784
4,0.000,19,19,19,2.727,34.748
5,0.000,9,9,9,3.060,30.812
6,0.000,14,14,14,3.361,26.943
7,0.000,20,20,20,3.727,22.874
8,0.000,23,23,23,4.228,19.138
9,0.000,13,13,13,4.528,14.902
10,0.000,12,12,12,4.762,10.999
11,0.000,8,8,8,5.195,6.996
12,0.000,15,15,15,5.495,2.827
13,0.000,14,14,14,9.398,3.060
14,0.000,20,20,20,9.064,7.163
15,0.000,15,15,15,8.864,10.832
16,0.000,16,16,16,8.564,14.735
17,0.000,24,24,24,8.230,18.704
18,0.000,15,15,15,7.897,22.707
19,0.000,9,9,9,7.530,26.676
20,0.000,15,15,15,7.330,30.545
21,0.000,12,12,12,6.930,34.581
22,0.000,8,8,8,6.629,38.517
23,0.000,10,10,10,6.196,42.387
24,0.000,10,10,10,5.862,46.323
25,0.000,25,25,25,9.665,46.790
26,0.000,20,20,20,9.998,43.220
27,0.000,15,15,15,10.332,39.285
28,0.000,19,19,19,10.632,35.549
29,0.000,15,15,15,10.999,31.446
30,0.000,17,17,17,11.366,27.477
31,0.000,16,16,16,11.633,23.507
32,0.000,19,19,19,12.066,19.571
33,0.000,12,12,12,12.300,15.535
34,0.000,24,24,24,12.633,11.566
35,0.000,11,11,11,12.967,7.497
36,0.000,18,18,18,13.301,3.494
37,0.000,14,14,14,17.236,3.661
38,0.000,10,10,10,16.936,7.563
39,0.000,20,20,20,16.536,11.433
40,0.000,22,22,22,16.236,15.168
41,0.000,21,21,21,15.936,19.238
42,0.000,19,19,19,15.635,23.107
43,0.000,17,17,17,15.235,27.176
44,0.000,12,12,12,14.902,30.946
45,0.000,14,14,14,14.601,34.882
46,0.000,23,23,23,14.335,38.851
47,0.000,8,8,8,13.901,42.820
48,0.000,9,9,9,13.601,46.623
49,0.000,11,11,11,17.437,47.156
50,0.000,11,11,11,17.804,43.487
51,0.000,27,27,27,18.137,39.618
52,0.000,6,6,6,18.404,35.682
53,0.000,15,15,15,18.804,31.746
54,0.000,15,15,15,19.071,27.743
55,0.000,11,11,11,19.338,23.874
56,0.000,10,10,10,19.638,19.838
57,0.000,18,18,18,20.005,15.936
58,0.000,23,23,23,20.372,11.966
59,0.000,13,13,13,20.705,7.964
60,0.000,17,17,17,21.006,3.894
61,0.000,20,20,20,24.875,4.111
62,0.000,11,11,11,24.541,7.997
63,0.000,11,11,11,24.208,11.850
64,0.000,23,23,23,23.874,15.719
